trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1255,False,"{'a': 0.002, 'e': 0.08143093836426381}",20,3,-11.097810417785075,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1256,False,"{'a': 0.002, 'e': 0.08126823924089167}",20,0,30.422610536077418,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1257,False,"{'a': 0.002, 'e': 0.0811058651905849}",25,19,11.511946295040657,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1258,False,"{'a': 0.002, 'e': 0.08094381556384699}",30,12,13.591248685214993,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
1259,False,"{'a': 0.002, 'e': 0.08078208971247929}",30,22,0.27562193543359004,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1260,False,"{'a': 0.002, 'e': 0.08062068698957811}",20,13,-28.234911133300066,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
1261,False,"{'a': 0.002, 'e': 0.08045960674953244}",30,9,33.53045021405433,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
1262,False,"{'a': 0.002, 'e': 0.08029884834802099}",20,14,11.339590006175584,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1263,False,"{'a': 0.002, 'e': 0.08013841114201005}",20,0,20.704908399436448,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1264,False,"{'a': 0.002, 'e': 0.07997829448975048}",30,12,34.85479023343566,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1265,False,"{'a': 0.002, 'e': 0.07981849775077554}",25,15,18.56486199871526,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1266,False,"{'a': 0.002, 'e': 0.07965902028589801}",20,13,12.631848893621601,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1267,False,"{'a': 0.002, 'e': 0.07949986145720786}",25,14,-19.760597822230274,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1268,False,"{'a': 0.002, 'e': 0.0793410206280695}",25,8,-8.177739491453696,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
